Byte1: 5, Byte2: 170, Wattage: 554
Byte1: 125, Byte2: 176, Wattage: 575
Byte1: 17, Byte2: 112, Wattage: 365
Byte1: 221, Byte2: 110, Wattage: 361
Byte1: 99, Byte2: 165, Wattage: 539
Byte1: 137, Byte2: 190, Wattage: 621
Byte1: 165, Byte2: 52, Wattage: 172
Byte1: 41, Byte2: 128, Wattage: 418
Byte1: 109, Byte2: 75, Wattage: 246
Byte1: 14, Byte2: 24, Wattage: 78
Byte1: 75, Byte2: 3, Wattage: 11
Byte1: 200, Byte2: 15, Wattage: 51
Byte1: 237, Byte2: 120, Wattage: 394
Byte1: 128, Byte2: 240, Wattage: 784
Byte1: 166, Byte2: 68, Wattage: 224
Byte1: 222, Byte2: 5, Wattage: 19
Byte1: 72, Byte2: 135, Wattage: 441
Byte1: 121, Byte2: 183, Wattage: 598
Byte1: 163, Byte2: 246, Wattage: 804
Byte1: 152, Byte2: 208, Wattage: 680
Byte1: 136, Byte2: 83, Wattage: 272
Byte1: 43, Byte2: 40, Wattage: 131
Byte1: 224, Byte2: 95, Wattage: 312
Byte1: 151, Byte2: 53, Wattage: 175
Byte1: 109, Byte2: 9, Wattage: 0
Byte1: 203, Byte2: 125, Wattage: 410
Byte1: 165, Byte2: 196, Wattage: 641
Byte1: 236, Byte2: 145, Wattage: 475
Byte1: 73, Byte2: 226, Wattage: 737
Byte1: 215, Byte2: 102, Wattage: 335
Byte1: 127, Byte2: 171, Wattage: 559
Byte1: 168, Byte2: 38, Wattage: 126
Byte1: 213, Byte2: 236, Wattage: 772
Byte1: 195, Byte2: 172, Wattage: 563
Byte1: 26, Byte2: 162, Wattage: 528
Byte1: 251, Byte2: 224, Wattage: 733
Byte1: 16, Byte2: 175, Wattage: 570
Byte1: 81, Byte2: 133, Wattage: 434
Byte1: 35, Byte2: 74, Wattage: 242
Byte1: 114, Byte2: 168, Wattage: 549
Byte1: 159, Byte2: 42, Wattage: 139
Byte1: 83, Byte2: 109, Wattage: 356
Byte1: 87, Byte2: 251, Wattage: 819
Byte1: 216, Byte2: 174, Wattage: 570
Byte1: 91, Byte2: 198, Wattage: 646
Byte1: 161, Byte2: 14, Wattage: 48
Byte1: 35, Byte2: 34, Wattage: 111
Byte1: 8, Byte2: 76, Wattage: 248
Byte1: 49, Byte2: 62, Wattage: 203
Byte1: 35, Byte2: 156, Wattage: 509
Byte1: 0, Byte2: 35, Wattage: 114
Byte1: 230, Byte2: 71, Wattage: 234
Byte1: 109, Byte2: 145, Wattage: 474
Byte1: 116, Byte2: 181, Wattage: 591
Byte1: 186, Byte2: 228, Wattage: 0
Byte1: 163, Byte2: 13, Wattage: 44
Byte1: 255, Byte2: 153, Wattage: 502
Byte1: 194, Byte2: 224, Wattage: 732
Byte1: 21, Byte2: 69, Wattage: 225
Byte1: 243, Byte2: 67, Wattage: 221
Byte1: 10, Byte2: 101, Wattage: 329
Byte1: 184, Byte2: 208, Wattage: 680
Byte1: 207, Byte2: 138, Wattage: 452
Byte1: 232, Byte2: 155, Wattage: 508
Byte1: 174, Byte2: 85, Wattage: 279
Byte1: 98, Byte2: 143, Wattage: 467
Byte1: 35, Byte2: 169, Wattage: 551
Byte1: 113, Byte2: 40, Wattage: 132
Byte1: 69, Byte2: 6, Wattage: 20
Byte1: 99, Byte2: 183, Wattage: 598
Byte1: 142, Byte2: 43, Wattage: 142
Byte1: 191, Byte2: 20, Wattage: 68
Byte1: 95, Byte2: 181, Wattage: 591
Byte1: 47, Byte2: 121, Wattage: 395
Byte1: 61, Byte2: 81, Wattage: 265
Byte1: 219, Byte2: 48, Wattage: 159
Byte1: 114, Byte2: 71, Wattage: 233
Byte1: 180, Byte2: 60, Wattage: 198
Byte1: 35, Byte2: 232, Wattage: 756
Byte1: 219, Byte2: 41, Wattage: 136
Byte1: 129, Byte2: 207, Wattage: 676
Byte1: 185, Byte2: 154, Wattage: 504
Byte1: 103, Byte2: 7, Wattage: 24
Byte1: 181, Byte2: 154, Wattage: 504
Byte1: 59, Byte2: 88, Wattage: 287
Byte1: 208, Byte2: 86, Wattage: 283
Byte1: 88, Byte2: 48, Wattage: 0
Byte1: 144, Byte2: 166, Wattage: 543
Byte1: 199, Byte2: 161, Wattage: 527
Byte1: 202, Byte2: 10, Wattage: 35
Byte1: 122, Byte2: 160, Wattage: 523
Byte1: 170, Byte2: 19, Wattage: 64
Byte1: 156, Byte2: 125, Wattage: 409
Byte1: 0, Byte2: 170, Wattage: 554
Byte1: 148, Byte2: 103, Wattage: 337
Byte1: 53, Byte2: 222, Wattage: 724
Byte1: 47, Byte2: 124, Wattage: 405
Byte1: 209, Byte2: 42, Wattage: 140
Byte1: 2, Byte2: 18, Wattage: 59
Byte1: 164, Byte2: 207, Wattage: 677
Byte1: 109, Byte2: 168, Wattage: 549
Byte1: 92, Byte2: 38, Wattage: 125
Byte1: 182, Byte2: 23, Wattage: 77
Byte1: 153, Byte2: 53, Wattage: 175
Byte1: 221, Byte2: 192, Wattage: 628
Byte1: 156, Byte2: 14, Wattage: 48
Byte1: 96, Byte2: 216, Wattage: 705
Byte1: 0, Byte2: 193, Wattage: 629
Byte1: 242, Byte2: 150, Wattage: 492
Byte1: 162, Byte2: 122, Wattage: 400
Byte1: 188, Byte2: 250, Wattage: 817
Byte1: 150, Byte2: 47, Wattage: 155
Byte1: 249, Byte2: 171, Wattage: 560
Byte1: 100, Byte2: 41, Wattage: 135
Byte1: 214, Byte2: 174, Wattage: 570
Byte1: 200, Byte2: 208, Wattage: 680
Byte1: 170, Byte2: 224, Wattage: 732
Byte1: 0, Byte2: 51, Wattage: 166
Byte1: 243, Byte2: 156, Wattage: 511
Byte1: 86, Byte2: 52, Wattage: 171
Byte1: 210, Byte2: 32, Wattage: 107
Byte1: 227, Byte2: 222, Wattage: 726
Byte1: 186, Byte2: 22, Wattage: 74
Byte1: 227, Byte2: 135, Wattage: 443
Byte1: 239, Byte2: 177, Wattage: 580
Byte1: 38, Byte2: 194, Wattage: 633
Byte1: 229, Byte2: 99, Wattage: 325
Byte1: 143, Byte2: 131, Wattage: 429
Byte1: 184, Byte2: 206, Wattage: 674
Byte1: 88, Byte2: 115, Wattage: 376
Byte1: 9, Byte2: 35, Wattage: 114
Byte1: 55, Byte2: 175, Wattage: 571
Byte1: 31, Byte2: 151, Wattage: 492
Byte1: 16, Byte2: 245, Wattage: 798
Byte1: 205, Byte2: 202, Wattage: 661
Byte1: 129, Byte2: 17, Wattage: 57
Byte1: 114, Byte2: 10, Wattage: 34
Byte1: 172, Byte2: 249, Wattage: 814
Byte1: 125, Byte2: 46, Wattage: 151
Byte1: 247, Byte2: 190, Wattage: 622
Byte1: 214, Byte2: 205, Wattage: 671
Byte1: 220, Byte2: 203, Wattage: 664
Byte1: 22, Byte2: 59, Wattage: 0
Byte1: 212, Byte2: 93, Wattage: 306
Byte1: 161, Byte2: 142, Wattage: 465
Byte1: 26, Byte2: 152, Wattage: 496
Byte1: 239, Byte2: 78, Wattage: 257
Byte1: 80, Byte2: 182, Wattage: 594
Byte1: 211, Byte2: 35, Wattage: 117
Byte1: 238, Byte2: 137, Wattage: 449
Byte1: 91, Byte2: 165, Wattage: 539
Byte1: 160, Byte2: 25, Wattage: 83
Byte1: 249, Byte2: 126, Wattage: 414
Byte1: 202, Byte2: 57, Wattage: 188
Byte1: 27, Byte2: 172, Wattage: 561
Byte1: 147, Byte2: 15, Wattage: 51
Byte1: 200, Byte2: 177, Wattage: 579
Byte1: 105, Byte2: 6, Wattage: 21
Byte1: 115, Byte2: 228, Wattage: 744
Byte1: 134, Byte2: 25, Wattage: 83
Byte1: 107, Byte2: 9, Wattage: 31
Byte1: 186, Byte2: 216, Wattage: 706
Byte1: 192, Byte2: 106, Wattage: 348
Byte1: 137, Byte2: 188, Wattage: 614
Byte1: 44, Byte2: 158, Wattage: 515
Byte1: 89, Byte2: 244, Wattage: 796
Byte1: 48, Byte2: 16, Wattage: 53
Byte1: 126, Byte2: 189, Wattage: 617
Byte1: 200, Byte2: 200, Wattage: 654
Byte1: 63, Byte2: 182, Wattage: 594
Byte1: 45, Byte2: 164, Wattage: 535
Byte1: 70, Byte2: 196, Wattage: 640
Byte1: 94, Byte2: 216, Wattage: 705
Byte1: 109, Byte2: 89, Wattage: 291
Byte1: 179, Byte2: 189, Wattage: 618
Byte1: 105, Byte2: 162, Wattage: 529
Byte1: 54, Byte2: 233, Wattage: 760
Byte1: 108, Byte2: 94, Wattage: 308
Byte1: 61, Byte2: 97, Wattage: 317
Byte1: 150, Byte2: 156, Wattage: 510
Byte1: 125, Byte2: 94, Wattage: 308
Byte1: 10, Byte2: 186, Wattage: 606
Byte1: 84, Byte2: 242, Wattage: 790
Byte1: 146, Byte2: 40, Wattage: 132
Byte1: 221, Byte2: 169, Wattage: 553
Byte1: 133, Byte2: 249, Wattage: 813
Byte1: 184, Byte2: 136, Wattage: 445
Byte1: 231, Byte2: 117, Wattage: 384
Byte1: 208, Byte2: 254, Wattage: 830
Byte1: 42, Byte2: 31, Wattage: 102
Byte1: 21, Byte2: 98, Wattage: 320
Byte1: 254, Byte2: 189, Wattage: 619
Byte1: 104, Byte2: 34, Wattage: 112
Byte1: 235, Byte2: 126, Wattage: 414
Byte1: 138, Byte2: 190, Wattage: 621
Byte1: 115, Byte2: 24, Wattage: 80
Byte1: 179, Byte2: 36, Wattage: 120
Byte1: 235, Byte2: 116, Wattage: 381
Byte1: 14, Byte2: 57, Wattage: 186
Byte1: 137, Byte2: 59, Wattage: 194
Byte1: 159, Byte2: 210, Wattage: 686
Byte1: 48, Byte2: 15, Wattage: 49
Byte1: 101, Byte2: 11, Wattage: 37
Byte1: 191, Byte2: 114, Wattage: 374
Byte1: 106, Byte2: 159, Wattage: 519
Byte1: 200, Byte2: 64, Wattage: 0
Byte1: 112, Byte2: 15, Wattage: 50
Byte1: 42, Byte2: 221, Wattage: 721
Byte1: 115, Byte2: 221, Wattage: 722
Byte1: 190, Byte2: 135, Wattage: 442
Byte1: 183, Byte2: 71, Wattage: 234
Byte1: 120, Byte2: 61, Wattage: 200
Byte1: 41, Byte2: 140, Wattage: 457
Byte1: 114, Byte2: 184, Wattage: 601
Byte1: 170, Byte2: 1, Wattage: 5
Byte1: 204, Byte2: 41, Wattage: 136
Byte1: 34, Byte2: 135, Wattage: 440
Byte1: 96, Byte2: 74, Wattage: 242
Byte1: 38, Byte2: 252, Wattage: 822
Byte1: 217, Byte2: 183, Wattage: 599
Byte1: 145, Byte2: 79, Wattage: 259
Byte1: 93, Byte2: 55, Wattage: 180
Byte1: 190, Byte2: 62, Wattage: 204
Byte1: 31, Byte2: 31, Wattage: 101
Byte1: 19, Byte2: 173, Wattage: 564
Byte1: 173, Byte2: 115, Wattage: 377
Byte1: 223, Byte2: 141, Wattage: 462
Byte1: 193, Byte2: 72, Wattage: 237
Byte1: 132, Byte2: 226, Wattage: 738
Byte1: 29, Byte2: 131, Wattage: 427
Byte1: 70, Byte2: 172, Wattage: 0
Byte1: 215, Byte2: 249, Wattage: 814
Byte1: 3, Byte2: 54, Wattage: 176
Byte1: 171, Byte2: 110, Wattage: 361
Byte1: 95, Byte2: 120, Wattage: 392
Byte1: 69, Byte2: 140, Wattage: 457
Byte1: 76, Byte2: 35, Wattage: 115
Byte1: 16, Byte2: 92, Wattage: 300
Byte1: 238, Byte2: 81, Wattage: 267
Byte1: 92, Byte2: 220, Wattage: 718
Byte1: 81, Byte2: 207, Wattage: 676
Byte1: 155, Byte2: 73, Wattage: 240
Byte1: 98, Byte2: 15, Wattage: 50
Byte1: 169, Byte2: 233, Wattage: 761
Byte1: 13, Byte2: 44, Wattage: 144
Byte1: 102, Byte2: 231, Wattage: 754
Byte1: 238, Byte2: 144, Wattage: 472
Byte1: 101, Byte2: 178, Wattage: 581
Byte1: 104, Byte2: 216, Wattage: 705
Byte1: 185, Byte2: 14, Wattage: 48
Byte1: 232, Byte2: 48, Wattage: 159
Byte1: 94, Byte2: 154, Wattage: 503
Byte1: 206, Byte2: 77, Wattage: 254
Byte1: 242, Byte2: 219, Wattage: 717
Byte1: 250, Byte2: 174, Wattage: 570
Byte1: 249, Byte2: 12, Wattage: 42
Byte1: 164, Byte2: 5, Wattage: 18
Byte1: 55, Byte2: 238, Wattage: 776
Byte1: 169, Byte2: 2, Wattage: 9
Byte1: 173, Byte2: 239, Wattage: 781
Byte1: 61, Byte2: 188, Wattage: 613
Byte1: 32, Byte2: 104, Wattage: 339
Byte1: 42, Byte2: 200, Wattage: 652
Byte1: 134, Byte2: 246, Wattage: 803
Byte1: 228, Byte2: 34, Wattage: 114
Byte1: 185, Byte2: 205, Wattage: 670
Byte1: 177, Byte2: 99, Wattage: 325
Byte1: 136, Byte2: 212, Wattage: 692
Byte1: 224, Byte2: 130, Wattage: 426
Byte1: 167, Byte2: 40, Wattage: 132
Byte1: 168, Byte2: 207, Wattage: 677
Byte1: 70, Byte2: 2, Wattage: 7
Byte1: 226, Byte2: 210, Wattage: 687
Byte1: 91, Byte2: 170, Wattage: 555
Byte1: 214, Byte2: 128, Wattage: 420
Byte1: 77, Byte2: 189, Wattage: 617
Byte1: 176, Byte2: 226, Wattage: 739
Byte1: 139, Byte2: 158, Wattage: 517
Byte1: 208, Byte2: 253, Wattage: 827
Byte1: 56, Byte2: 6, Wattage: 20
Byte1: 8, Byte2: 111, Wattage: 362
Byte1: 92, Byte2: 62, Wattage: 203
Byte1: 206, Byte2: 197, Wattage: 645
Byte1: 208, Byte2: 224, Wattage: 733
Byte1: 125, Byte2: 36, Wattage: 119
Byte1: 104, Byte2: 113, Wattage: 370
Byte1: 17, Byte2: 31, Wattage: 101
Byte1: 72, Byte2: 24, Wattage: 79
Byte1: 31, Byte2: 40, Wattage: 131
Byte1: 126, Byte2: 19, Wattage: 64
Byte1: 110, Byte2: 100, Wattage: 327
Byte1: 171, Byte2: 171, Wattage: 559
Byte1: 159, Byte2: 88, Wattage: 289
Byte1: 230, Byte2: 8, Wattage: 29
Byte1: 191, Byte2: 7, Wattage: 25
Byte1: 223, Byte2: 33, Wattage: 110
Byte1: 1, Byte2: 122, Wattage: 398
Byte1: 239, Byte2: 61, Wattage: 202
Byte1: 22, Byte2: 232, Wattage: 756
Byte1: 92, Byte2: 86, Wattage: 281
Byte1: 106, Byte2: 46, Wattage: 151
Byte1: 145, Byte2: 227, Wattage: 741
Byte1: 164, Byte2: 95, Wattage: 312
Byte1: 241, Byte2: 45, Wattage: 150
Byte1: 175, Byte2: 244, Wattage: 797
Byte1: 172, Byte2: 200, Wattage: 654
Byte1: 144, Byte2: 86, Wattage: 282
Byte1: 121, Byte2: 180, Wattage: 588
Byte1: 113, Byte2: 109, Wattage: 357
Byte1: 226, Byte2: 192, Wattage: 628
Byte1: 121, Byte2: 71, Wattage: 233
Byte1: 11, Byte2: 211, Wattage: 688
Byte1: 150, Byte2: 213, Wattage: 696
Byte1: 23, Byte2: 90, Wattage: 294
Byte1: 105, Byte2: 200, Wattage: 653
Byte1: 66, Byte2: 41, Wattage: 134
Byte1: 97, Byte2: 75, Wattage: 246
Byte1: 47, Byte2: 185, Wattage: 603
Byte1: 41, Byte2: 57, Wattage: 186
Byte1: 158, Byte2: 165, Wattage: 540
Byte1: 100, Byte2: 13, Wattage: 44
Byte1: 69, Byte2: 204, Wattage: 666
Byte1: 73, Byte2: 229, Wattage: 747
Byte1: 251, Byte2: 1, Wattage: 6
Byte1: 21, Byte2: 242, Wattage: 789
Byte1: 161, Byte2: 193, Wattage: 631
Byte1: 115, Byte2: 238, Wattage: 777
Byte1: 202, Byte2: 186, Wattage: 609
Byte1: 58, Byte2: 28, Wattage: 92
Byte1: 175, Byte2: 173, Wattage: 566
Byte1: 218, Byte2: 170, Wattage: 557
Byte1: 156, Byte2: 193, Wattage: 631
Byte1: 250, Byte2: 137, Wattage: 450
Byte1: 223, Byte2: 157, Wattage: 0
Byte1: 223, Byte2: 157, Wattage: 514
Byte1: 101, Byte2: 114, Wattage: 373
Byte1: 106, Byte2: 46, Wattage: 151
Byte1: 27, Byte2: 117, Wattage: 382
Byte1: 207, Byte2: 61, Wattage: 201
Byte1: 193, Byte2: 220, Wattage: 719
Byte1: 193, Byte2: 149, Wattage: 488
Byte1: 45, Byte2: 24, Wattage: 79
Byte1: 103, Byte2: 51, Wattage: 371
Byte1: 229, Byte2: 113, Wattage: 371
Byte1: 61, Byte2: 29, Wattage: 138
Byte1: 94, Byte2: 42, Wattage: 138
Byte1: 214, Byte2: 203, Wattage: 664
Byte1: 172, Byte2: 106, Wattage: 452
Byte1: 25, Byte2: 87, Wattage: 441
Byte1: 127, Byte2: 135, Wattage: 441
Byte1: 148, Byte2: 193, Wattage: 614
Byte1: 34, Byte2: 179, Wattage: 596
Byte1: 78, Byte2: 190, Wattage: 620
Byte1: 156, Byte2: 120, Wattage: 415
Byte1: 171, Byte2: 157, Wattage: 525
Byte1: 197, Byte2: 181, Wattage: 592
Byte1: 220, Byte2: 206, Wattage: 643
Byte1: 204, Byte2: 158, Wattage: 535
Byte1: 25, Byte2: 161, Wattage: 671
Byte1: 212, Byte2: 205, Wattage: 671
Byte1: 118, Byte2: 161, Wattage: 806
Byte1: 55, Byte2: 247, Wattage: 806
Byte1: 112, Byte2: 158, Wattage: 540
Byte1: 206, Byte2: 165, Wattage: 540
Byte1: 71, Byte2: 115, Wattage: 394
Byte1: 30, Byte2: 86, Wattage: 296
Byte1: 244, Byte2: 123, Wattage: 356
Byte1: 9, Byte2: 33, Wattage: 142
Byte1: 95, Byte2: 24, Wattage: 663
Byte1: 84, Byte2: 203, Wattage: 663
Byte1: 253, Byte2: 224, Wattage: 602
Byte1: 95, Byte2: 24, Wattage: 149
Byte1: 116, Byte2: 201, Wattage: 834
Byte1: 184, Byte2: 83, Wattage: 273
Byte1: 255, Byte2: 255, Wattage: 834
Byte1: 118, Byte2: 55, Wattage: 251
Byte1: 39, Byte2: 244, Wattage: 796
Byte1: 105, Byte2: 234, Wattage: 768
Byte1: 34, Byte2: 191, Wattage: 623
Byte1: 5, Byte2: 146, Wattage: 491
Byte1: 211, Byte2: 23, Wattage: 152
Byte1: 2, Byte2: 227, Wattage: 740
Byte1: 81, Byte2: 139, Wattage: 458
Byte1: 0, Byte2: 205, Wattage: 668
Byte1: 83, Byte2: 205, Wattage: 568
Byte1: 53, Byte2: 114, Wattage: 0
Byte1: 3, Byte2: 35, Wattage: 0
Byte1: 239, Byte2: 188, Wattage: 616
Byte1: 146, Byte2: 226, Wattage: 738
Byte1: 209, Byte2: 53, Wattage: 235
Byte1: 212, Byte2: 74, Wattage: 284
Byte1: 254, Byte2: 141, Wattage: 463
Byte1: 49, Byte2: 49, Wattage: 704
Byte1: 4, Byte2: 216, Wattage: 704
Byte1: 133, Byte2: 194, Wattage: 521
Byte1: 160, Byte2: 20, Wattage: 128
Byte1: 165, Byte2: 149, Wattage: 412
Byte1: 232, Byte2: 4, Wattage: 69
Byte1: 61, Byte2: 76, Wattage: 248
Byte1: 54, Byte2: 167, Wattage: 545
Byte1: 94, Byte2: 123, Wattage: 402
Byte1: 78, Byte2: 140, Wattage: 466
Byte1: 123, Byte2: 13, Wattage: 82
Byte1: 228, Byte2: 194, Wattage: 635
Byte1: 232, Byte2: 86, Wattage: 283
Byte1: 121, Byte2: 94, Wattage: 343
Byte1: 234, Byte2: 40, Wattage: 150
Byte1: 101, Byte2: 168, Wattage: 549
Byte1: 110, Byte2: 213, Wattage: 695
Byte1: 239, Byte2: 93, Wattage: 332
Byte1: 151, Byte2: 181, Wattage: 603
Byte1: 218, Byte2: 221, Wattage: 723
Byte1: 67, Byte2: 117, Wattage: 406
Byte1: 214, Byte2: 178, Wattage: 598
Byte1: 88, Byte2: 103, Wattage: 344
Byte1: 3, Byte2: 151, Wattage: 503
Byte1: 92, Byte2: 68, Wattage: 237
Byte1: 14, Byte2: 122, Wattage: 409
Byte1: 184, Byte2: 89, Wattage: 292
Byte1: 12, Byte2: 183, Wattage: 596
Byte1: 181, Byte2: 89, Wattage: 292
Byte1: 61, Byte2: 133, Wattage: 452
Byte1: 62, Byte2: 194, Wattage: 633
Byte1: 181, Byte2: 67, Wattage: 245
Byte1: 119, Byte2: 9, Wattage: 96
Byte1: 170, Byte2: 14, Wattage: 70
Byte1: 108, Byte2: 24, Wattage: 82
Byte1: 58, Byte2: 235, Wattage: 766
Byte1: 216, Byte2: 172, Wattage: 563
Byte1: 84, Byte2: 222, Wattage: 729
Byte1: 90, Byte2: 39, Wattage: 0
Byte1: 237, Byte2: 35, Wattage: 139
Byte1: 228, Byte2: 194, Wattage: 635
Byte1: 246, Byte2: 84, Wattage: 277
Byte1: 208, Byte2: 95, Wattage: 346
Byte1: 200, Byte2: 246, Wattage: 804
Byte1: 222, Byte2: 6, Wattage: 56
Byte1: 85, Byte2: 62, Wattage: 268
Byte1: 134, Byte2: 108, Wattage: 354
Byte1: 124, Byte2: 133, Wattage: 435
Byte1: 233, Byte2: 154, Wattage: 505
Byte1: 165, Byte2: 58, Wattage: 217
Byte1: 195, Byte2: 37, Wattage: 123
Byte1: 250, Byte2: 25, Wattage: 99
Byte1: 176, Byte2: 82, Wattage: 269
Byte1: 128, Byte2: 147, Wattage: 481
Byte1: 158, Byte2: 59, Wattage: 202
Byte1: 227, Byte2: 37, Wattage: 161
Byte1: 42, Byte2: 163, Wattage: 532
Byte1: 193, Byte2: 87, Wattage: 286
Byte1: 207, Byte2: 103, Wattage: 359
Byte1: 198, Byte2: 31, Wattage: 123
Byte1: 60, Byte2: 235, Wattage: 766
Byte1: 87, Byte2: 230, Wattage: 751
Byte1: 123, Byte2: 63, Wattage: 267
Byte1: 78, Byte2: 89, Wattage: 341
Byte1: 96, Byte2: 101, Wattage: 330
Byte1: 9, Byte2: 126, Wattage: 411
Byte1: 35, Byte2: 18, Wattage: 89
Byte1: 199, Byte2: 115, Wattage: 381
Byte1: 202, Byte2: 169, Wattage: 553
Byte1: 215, Byte2: 104, Wattage: 346
Byte1: 72, Byte2: 177, Wattage: 578
Byte1: 105, Byte2: 121, Wattage: 396
Byte1: 230, Byte2: 105, Wattage: 370
Byte1: 50, Byte2: 10, Wattage: 72
Byte1: 208, Byte2: 111, Wattage: 364
Byte1: 60, Byte2: 180, Wattage: 587
Byte1: 146, Byte2: 209, Wattage: 683
